,Latitude,Longitude,Cumulative Distance
0,-12.457676,130.83613,0.0
1,-12.452873,130.840802,0.7350541136021269
2,-12.437816,130.841355,2.4018324461918574
3,-12.425283,130.867733,5.58736789154911
4,-12.425041,130.883835,7.338326962073638
5,-12.427097,130.905882,9.746233128677936
6,-12.444427,130.952009,15.115317615110236
7,-12.468778,130.982016,19.34604374932151
8,-12.469587,130.984225,19.602320458373274
9,-12.472181,130.994932,20.80113063945552
10,-12.481384,131.004764,22.277230699138432
11,-12.486354,131.009854,23.057257045112465
12,-12.493593,131.011957,23.89006916197448
13,-12.511009,131.021826,26.095244517489604
14,-12.513289,131.02429,26.463138582558333
15,-12.516362,131.0321,27.377561525792892
16,-12.52649,131.046497,29.30212147209841
17,-12.541261,131.059499,31.462453524090346
18,-12.558601,131.07164,33.79069071000226
19,-12.566095,131.073782,34.651787182853056
20,-12.615433,131.074086,40.11000491741308
21,-12.624567,131.072303,41.13887610865846
22,-12.658711433410645,131.07815551757812,44.96932536178461
23,-12.660428047180176,131.0784454345703,45.16182403490382
24,-12.662053108215332,131.07870483398438,45.343795686139835
25,-12.66395664215088,131.0790252685547,45.55723665128482
26,-12.665556907653809,131.0792236328125,45.73557685457572
27,-12.667280197143556,131.07943725585938,45.92762748433523
28,-12.669208526611328,131.07969665527344,46.14280705667455
29,-12.670992851257324,131.0799560546875,46.34220380052228
30,-12.672823905944824,131.08026123046875,46.547463792331236
31,-12.674509048461914,131.08053588867188,46.73625954162333
32,-12.676358222961426,131.08082580566406,46.94323934683548
33,-12.677959442138672,131.08106994628906,47.12235275168224
34,-12.67951202392578,131.0813446044922,47.296683239479044
35,-12.681297302246094,131.08163452148438,47.49667951971682
36,-12.682893753051758,131.08192443847656,47.676076958413354
37,-12.684815406799316,131.08242797851562,47.895588539085594
38,-12.686800956726074,131.08297729492188,48.123205191340126
39,-12.68851375579834,131.0834503173828,48.3195307772564
40,-12.690230369567873,131.08392333984375,48.51626363190047
41,-12.692051887512209,131.0843963623047,48.72422108079696
42,-12.693856239318848,131.08470153808594,48.926566201129695
43,-12.69578742980957,131.08494567871094,49.14184918052808
44,-12.697598457336426,131.08517456054688,49.34373587295689
45,-12.699331283569336,131.0853729248047,49.536641826256336
46,-12.70103359222412,131.08558654785156,49.72638870796461
47,-12.702958106994627,131.08583068847656,49.940938831575224
48,-12.70474338531494,131.0860595703125,50.139998949221386
49,-12.70667552947998,131.0863037109375,50.355386663367874
50,-12.708456039428713,131.0865020751953,50.55353569038031
51,-12.71023941040039,131.08673095703125,50.75238646964728
52,-12.711913108825684,131.08694458007812,50.93899244113346
53,-12.71359634399414,131.08714294433594,51.1264476233698
54,-12.715523719787598,131.08740234375,51.34152266996122
55,-12.717361450195312,131.08761596679688,51.54614683794525
56,-12.719225883483888,131.08786010742188,51.754102886329534
57,-12.721113204956056,131.0880889892578,51.96436825108297
58,-12.722816467285156,131.0883026123047,52.1542199095285
59,-12.724431037902832,131.0885009765625,52.334131353226134
60,-12.726213455200195,131.08871459960938,52.53267704624461
61,-12.727970123291016,131.0889434814453,52.72859729889255
62,-12.729995727539062,131.08921813964844,52.95466274379538
63,-12.731760025024414,131.08941650390625,53.15102907279959
64,-12.733607292175291,131.0896453857422,53.3568950875467
65,-12.735637664794922,131.09002685546875,53.58530002560303
66,-12.737533569335938,131.09054565429688,53.802475966498925
67,-12.739288330078123,131.0911407470703,54.00707659330044
68,-12.74062728881836,131.09170532226562,54.167390528928756
69,-12.742164611816406,131.0924835205078,54.3573012986798
70,-12.743664741516112,131.09326171875,54.54353606778841
71,-12.745160102844238,131.09326171875,54.70896539863631
72,-12.745160102844238,131.09402465820312,54.791816334041656
73,-12.74671745300293,131.09481811523438,54.98444860613268
74,-12.748294830322266,131.09564208984375,55.18055451025091
75,-12.7499418258667,131.0965118408203,55.3857836371225
76,-12.751388549804688,131.0972442626953,55.5645053252298
77,-12.752964973449709,131.0980682373047,55.76051666029575
78,-12.754521369934082,131.09886169433594,55.95305348750578
79,-12.756231307983398,131.0997772216797,56.166754693853406
80,-12.757800102233888,131.10061645507812,56.36277952950418
81,-12.75937271118164,131.1014404296875,56.55841452605608
82,-12.760761260986328,131.10214233398438,56.729896999943485
83,-12.762441635131836,131.10301208496094,56.93840945621146
84,-12.763945579528809,131.1038055419922,57.12577368842063
85,-12.765310287475586,131.10452270507812,57.29565005239274
86,-12.766674041748049,131.10525512695312,57.46619879266035
87,-12.768006324768066,131.10592651367188,57.630631581605115
88,-12.76963710784912,131.10678100585938,57.83350378668078
89,-12.771127700805664,131.10763549804688,58.02271678621242
90,-12.77279567718506,131.10873413085938,58.242445145852514
91,-12.774333953857422,131.10992431640625,58.456130692120844
92,-12.775960922241213,131.11141967773438,58.69853472780664
93,-12.77735996246338,131.11288452148438,58.920465259954106
94,-12.778754234313965,131.1145782470703,59.160492558686244
95,-12.779905319213867,131.1160125732422,59.36166615256766
96,-12.78114414215088,131.11758422851562,59.58053520886855
97,-12.782259941101074,131.11758422851562,59.70397453435014
98,-12.782259941101074,131.1189727783203,59.85474126152224
99,-12.78341579437256,131.12037658691406,60.053697743432345
100,-12.785008430480955,131.1217803955078,60.286669650230614
101,-12.786792755126951,131.12271118164062,60.50843368097138
102,-12.788368225097656,131.1231689453125,60.68967407927191
103,-12.790119171142578,131.12330627441406,60.88395200685613
104,-12.791661262512209,131.12322998046875,61.05475259376346
105,-12.793036460876465,131.12315368652344,61.207114392938365
106,-12.79455852508545,131.12303161621094,61.37601924236009
107,-12.796313285827637,131.12290954589844,61.570598146277675
